id_video,num_likes,num_comentarios,num_guardados,num_compartidos
7387797219509865733,50.2K,190,8386,3304
7441295571639373112,317.2K,920,15.9K,5021
7286613450380283142,49.2K,2131,6045,8473
7375231106003700997,617.7K,6233,24.5K,3476
