id_video,num_likes,num_comentarios,num_guardados,num_compartidos
7082385712422653189,5513,27,1794,353
7353051032278076678,10.7K,46,5443,974
7361417567560273185,1422,6,581,39
7360935093034175777,5040,28,2386,161
7443911768646225174,190,1,101,14
7200333967881555202,460K,390,120.2K,6433
7332218031919156485,2065,14,815,129
7394433108302515487,48.5K,87,24.3K,1994
7143325603394014470,3623,38,548,68
