id_video,num_likes,num_comentarios,num_guardados,num_compartidos
7204627374174965018,1.7M,2119,319.8K,55K
7370365953160334598,46.6K,401,16.4K,23.3K
7436458885696802103,159.2K,1133,31.4K,52.9K
7402072103912049951,23.7K,529,7430,3782
7320057176649747718,14.8K,96,2300,370
7436500321649675576,58.9K,605,20.3K,22.4K
