id_video,fecha_recuperacion,fecha_publicacion,reproducciones,nombre_usuario,titulo,etiquetas,url_video,url_perfil
7344919483837861126,2024-12-02 12:47:39.231651,3-10,1028,sreiscarol_,"I spent a lot of time trying to find the “perfect” app to organize all papers I’m reading for my masters research and, after anlot of search and frustration trying to use different apps, I finally settled down with Obsidian.  At the moment, I’m still using Mendeley as a large paper library (so most of PDFs are stored there). But in the future I’ll probably save all PDFs inside Obsidian.  You have all your files saved offline and you can also sync them on a cloud storage.  ",#study #studying #estudo #studywithme #obsidian #notion #msc #research ,https://www.tiktok.com/@sreiscarol_/video/7344919483837861126,https://www.tiktok.com/@sreiscarol_
7428000522113797382,2024-12-02 12:47:39.243464,10-20,188,nelxson.exe,"Apps para organizarte (Creativa, laboralmente, academicamente) Obsidian en estos momentos es mi favorita ¿Cuál es tu fav? ",#obsidian #apps #edition ,https://www.tiktok.com/@nelxson.exe/video/7428000522113797382,https://www.tiktok.com/@nelxson.exe
7431963846857837857,2024-12-02 12:47:39.256479,10-31,3317,caitlinmell0r,"a rapid tour of my notes workflow 📝👩‍💻 my process is similar to the Zettelkasten method and I do it all in Obsidian (not paid to promote… just love the app!) 🫶🏻 there are loads of other softwares that allow you to do similar things, but Obsidian just works best for me 😊 happy to answer any questions on my method below as I know this was a tad fast 😅🤍 ",#notetaking #student #academic #phd #phdstudent #notes #phdlife #zettelkasten #obsidian #notes #study ,https://www.tiktok.com/@caitlinmell0r/video/7431963846857837857,https://www.tiktok.com/@caitlinmell0r
7046751954663443718,2024-12-02 12:47:39.269462,2021-12-28,38.5K,asfaltphone,Generador de Obsidiana en Minecraft ,#minecraft #mine #minecraftbuilding #minecrafttutorial #minecrafttutorial #minecrafter #minecraftpe #bedrock #mcpe ,https://www.tiktok.com/@asfaltphone/video/7046751954663443718,https://www.tiktok.com/@asfaltphone
7373314008322952453,2024-12-02 12:47:39.280462,5-26,5787,torquatoads,"Comenta ""obsidian"" que produzo mais conteúdos explicando mais! Aproveita e já começa a me seguir. ",#obsidian #ai #ia #inteligenciaartificial #alannicolas ,https://www.tiktok.com/@torquatoads/video/7373314008322952453,https://www.tiktok.com/@torquatoads
6939659323714964742,2024-12-02 12:47:39.292464,2021-3-14,4169,sidcodes,Here's how to take better notes! ,#notetaking #studying #productivity #studytok #edutok #compsci #coding #programming #studywithme ,https://www.tiktok.com/@sidcodes/video/6939659323714964742,https://www.tiktok.com/@sidcodes
7427069418330410273,2024-12-02 12:47:39.303736,10-18,3103,glich.stream,Replying to ,@Dillon #programming #coding #softwareengineering ,https://www.tiktok.com/@glich.stream/video/7427069418330410273,https://www.tiktok.com/@glich.stream
7417588024894049568,2024-12-02 12:47:39.315735,9-22,949,dealasra,A little tutorial on how I use obsidian to record all of my notes for my novel!  ,#fantasymap #obsidian #booktok #novelwriting #author #tutorial #highfantasy #writersoftiktok #notetaking ,https://www.tiktok.com/@dealasra/video/7417588024894049568,https://www.tiktok.com/@dealasra
7370416314592054561,2024-12-02 12:47:39.326935,5-18,352,luxnor33,"Obsidian is such a gamechanger and it might be free but the real price is the time you have to spend just to understand how the app works but its sooooo worth it 😩   I’m still learning myself so if you’d like more content on Obsidian, let me know in the comments 💌  ",#obsidian #knowledge #meme #nerdy ,https://www.tiktok.com/@luxnor33/video/7370416314592054561,https://www.tiktok.com/@luxnor33
6920488708563127557,2024-12-02 12:47:39.377936,2021-1-22,4176,seba.stard,"Seriously, this app is free dopamine ",#obsidian #coding #markdown #notetaking #education #adhdtok #adhdcheck #school #computer ,https://www.tiktok.com/@seba.stard/video/6920488708563127557,https://www.tiktok.com/@seba.stard
7299484820625755397,2024-12-02 12:47:39.411935,2023-11-9,2003,jessikarochas,Mapas mentais no ,#Obsidian #segundocerebro #productivitytips #produtividadedigital #produtividademaxima #produtividadepessoal ,https://www.tiktok.com/@jessikarochas/video/7299484820625755397,https://www.tiktok.com/@jessikarochas
7427876129261899013,2024-12-02 12:47:39.425933,10-20,1467,jessikarochas,Replying to ,@jefersonmatheus #AnotacoesDigitais #SegundoCerebro #ProductivityTips #Productivity #ProdutividadeDigital #Obsidian #ObsidianPlugins #AI #IA #TextGenerator ,https://www.tiktok.com/@jessikarochas/video/7427876129261899013,https://www.tiktok.com/@jessikarochas
7291661794643299589,2024-12-02 12:47:39.436930,2023-10-19,37.7K,vitalfungi__,Respuesta a ,@_scorpionnqueen_ #info #obsidiana #datoscuriosos #parati #surdechile #ancestral #naturaleza #piedras #loaprendientiktok #duet #datoscuriosos ,https://www.tiktok.com/@vitalfungi__/video/7291661794643299589,https://www.tiktok.com/@vitalfungi__
7302852300651941126,2024-12-02 12:47:39.449931,2023-11-18,1427,regawaras,9 month obsidian graph development update ,#obsidian #obsidiangraph #zettelkasten #secondbrain #tiagoforte #obsidiannotes #notion #notionapp #kuliah #notes #notetaking ,https://www.tiktok.com/@regawaras/video/7302852300651941126,https://www.tiktok.com/@regawaras
7267921862498290950,2024-12-02 12:47:39.459931,2023-8-16,35.7K,diolinux,"Que tal desbloquear sua criatividade com Obsidian?! Conecte ideias, organize pensamentos e crie insights com essa ferramenta de anotações.🤓 Já testou essa ferramenta? Conta aí!  ",#app #software #tech #obsidian #tecnologia #techtok ,https://www.tiktok.com/@diolinux/video/7267921862498290950,https://www.tiktok.com/@diolinux
7436559451529760055,2024-12-02 12:47:39.469930,11-12,12.3K,giselazeiterr," probamos la nueva línea de RUBY ROSE ""OBSIDIAN"" Todo lo conseguí en la @beautyhouse_cr Probaron alguno de estos productos u otros de la línea? Cuál quisieran probar? Las leo ",#Unboxing #rubyrose #obsidian #maquillaje #reseñademaquillaje ,https://www.tiktok.com/@giselazeiterr/video/7436559451529760055,https://www.tiktok.com/@giselazeiterr
7428293653098958086,2024-12-02 12:47:39.479931,10-21,834,jessikarochas, ,#excalidraw #SecondBrain #AnotacoesDigitais #SegundoCerebro #ProductivityTips #Productivity #ProdutividadeDigital #Obsidian #ObsidianPlugins ,https://www.tiktok.com/@jessikarochas/video/7428293653098958086,https://www.tiktok.com/@jessikarochas
7296172938363981062,2024-12-02 12:47:39.489930,2023-10-31,146.1K,peesamac,Obsidian โปรแกรมจดโน้ตสุดฮอท ฟรี ดี และช่วยคุณสร้าง Second Brain สมองที่สองให้จดจำ เข้าใจ และ สร้างสรรค์ได้ดีขึ้น ,#obsidian #notetakingapp #secondbrain #สมองที่สอง #personalknowledgemanagement #peesamac #แอพจดโน้ต ,https://www.tiktok.com/@peesamac/video/7296172938363981062,https://www.tiktok.com/@peesamac
