timestamp,content,comments,retweets,likes,analytics,tags,tweet_link,tweet_id,Sentimiento
2024-10-17T14:00:00.000Z,Meet my Template for Dark and Light Mode Available!https://juliotrois.com.br#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,3,70,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1846914060887249316,tweet_id:1846914060887249316,positivo
2024-10-16T18:00:01.000Z, NordVPN - Promo Black Fridayhttps://go.nordvpn.net/SH52i#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,2,135,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1846612075260342432,tweet_id:1846612075260342432,negativo
2024-10-16T17:00:01.000Z,Get to know my BoardGame Print & Play!https://juliotrois.com.br#boardgames #notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,2,70,"['#boardgames', '#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1846596974213992575,tweet_id:1846596974213992575,neutral
2024-10-16T16:00:01.000Z,Meet my Template for Dark and Light Mode Available!https://juliotrois.com.br#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,2,95,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1846581875311104257,tweet_id:1846581875311104257,positivo
2024-10-16T15:00:01.000Z,Meet my Template for Dark and Light Mode Available!https://juliotrois.com.br#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,2,95,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1846566774462165094,tweet_id:1846566774462165094,positivo
2024-10-16T14:00:01.000Z,Meet my Template for Dark and Light Mode Available!https://juliotrois.com.br#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,1,40,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1846551676817166667,tweet_id:1846551676817166667,positivo
2024-10-15T17:00:01.000Z,Meet my Template for Dark and Light Mode Available!https://juliotrois.com.br#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,3,124,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1846234587451593105,tweet_id:1846234587451593105,positivo
2024-10-15T16:00:02.000Z,Meet my Template for Dark and Light Mode Available!https://juliotrois.com.br#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,1,58,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1846219491190952326,tweet_id:1846219491190952326,positivo
2024-10-15T15:00:03.000Z,Meet my Template for Dark and Light Mode Available!https://juliotrois.com.br#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,2,91,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1846204395903418606,tweet_id:1846204395903418606,positivo
2024-10-15T14:00:01.000Z,Meet my Template for Dark and Light Mode Available!https://juliotrois.com.br#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,1,38,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1846189288763060621,tweet_id:1846189288763060621,positivo
2024-10-14T17:00:01.000Z,Meet my Template for Dark and Light Mode Available!https://juliotrois.com.br#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,2,101,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1845872197132243275,tweet_id:1845872197132243275,positivo
2024-10-14T16:00:02.000Z,Meet my Template for Dark and Light Mode Available!https://juliotrois.com.br#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,2,72,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1845857103413473784,tweet_id:1845857103413473784,positivo
2024-10-14T15:00:00.000Z,Meet my Template for Dark and Light Mode Available!https://juliotrois.com.br#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,1,37,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1845841994930881009,tweet_id:1845841994930881009,positivo
2024-10-14T14:00:00.000Z,Meet my Template for Dark and Light Mode Available!https://juliotrois.com.br#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,2,56,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1845826896589922694,tweet_id:1845826896589922694,positivo
2024-10-12T16:00:02.000Z,Special Offer! Bundle!https://juliotrois.com.br#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp #wallpaper #wallpapers #poster #posterdesign #posters,0,0,1,56,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp', '#wallpaper', '#wallpapers', '#poster', '#posterdesign', '#posters']",https://x.com/julio_trois/status/1845132327544029620,tweet_id:1845132327544029620,positivo
2024-10-12T15:00:02.000Z,Meet my Wallpapers Collectionhttps://juliotrois.com.br#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp #wallpaper #Wallpapers,0,0,1,68,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp', '#wallpaper', '#Wallpapers']",https://x.com/julio_trois/status/1845117226493555055,tweet_id:1845117226493555055,neutral
2024-10-12T14:00:01.000Z,Meet my Wallpapers Collectionhttps://juliotrois.com.br#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp #wallpaper #Wallpapers,0,0,1,58,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp', '#wallpaper', '#Wallpapers']",https://x.com/julio_trois/status/1845102123647631457,tweet_id:1845102123647631457,neutral
2024-10-11T18:00:01.000Z,Become a Member and receive Notion Premium Template and Wallpapers every month!https://juliotrois.com.br#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,1,45,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1844800133340500463,tweet_id:1844800133340500463,neutral
2024-10-11T17:00:01.000Z,Get to know my BoardGame Print & Play!https://juliotrois.com.br#boardgames #notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,1,32,"['#boardgames', '#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1844785035125141932,tweet_id:1844785035125141932,neutral
2024-10-11T16:00:02.000Z,Get to know my BoardGame Print & Play!https://juliotrois.com.br#boardgames #notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,1,31,"['#boardgames', '#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1844769939850400196,tweet_id:1844769939850400196,neutral
2024-10-11T15:00:00.000Z,Meet my Template for Dark and Light Mode Available!https://juliotrois.com.br#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,2,65,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1844754832357573086,tweet_id:1844754832357573086,positivo
2024-10-11T14:00:01.000Z,Meet my Template for Dark and Light Mode Available!https://juliotrois.com.br#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,3,51,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1844739735991820617,tweet_id:1844739735991820617,positivo
2024-10-10T17:00:01.000Z,Meet my Template for Dark and Light Mode Available!https://juliotrois.com.br#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,2,61,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1844422646139846961,tweet_id:1844422646139846961,positivo
2024-10-10T16:10:25.000Z,Meet my Template for Dark and Light Mode Available!https://juliotrois.com.br#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,1,43,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1844410165807939669,tweet_id:1844410165807939669,positivo
2024-10-09T06:41:27.000Z,"School | Notion Template

Explore Dread's templates, browse options, and submit your own to the Notion template gallery to become a creator!#notiontemplate #notiontemplates #notiontwt #notion #buildwithnotion #notiontemplateideas #notionapp",0,0,0,25,"['#notiontemplate', '#notiontemplates', '#notiontwt', '#notion', '#buildwithnotion', '#notiontemplateideas', '#notionapp']",https://x.com/notiontemplate_/status/1843904591198396790,tweet_id:1843904591198396790,positivo
2024-10-09T06:41:26.000Z,"0life blueprint. - Templates - Notion

Browse templates by Lulu and explore related content in the Help Center.#notiontemplate #notiontemplates #notiontwt #notion #buildwithnotion #notiontemplateideas #notionapp",0,0,0,14,"['#notiontemplate', '#notiontemplates', '#notiontwt', '#notion', '#buildwithnotion', '#notiontemplateideas', '#notionapp']",https://x.com/notiontemplate_/status/1843904588060950585,tweet_id:1843904588060950585,neutral
2024-10-03T21:41:47.000Z,"Social Media Calendar | Notion Template

Explore a template by Mohamed Emad and find similar content. Visit the Help Center for more information.#notiontemplate #notiontemplates #notiontwt #notion #buildwithnotion #notiontemplateideas #notionapp",0,0,0,19,"['#notiontemplate', '#notiontemplates', '#notiontwt', '#notion', '#buildwithnotion', '#notiontemplateideas', '#notionapp']",https://x.com/notiontemplate_/status/1841956841472901168,tweet_id:1841956841472901168,positivo
2024-10-01T06:46:22.000Z,"Habits Tracker | Notion Template

Browse and download 12 templates by Zekna, including Finance Tracker and Meal Planner for free. Get the templates now!#notiontemplate #notiontemplates #notiontwt #notion #buildwithnotion #notiontemplateideas #notionapp",0,0,0,60,"['#notiontemplate', '#notiontemplates', '#notiontwt', '#notion', '#buildwithnotion', '#notiontemplateideas', '#notionapp']",https://x.com/notiontemplate_/status/1841006724934758697,tweet_id:1841006724934758697,positivo
2024-09-30T17:00:02.000Z,Special Offer! Bundle!https://juliotrois.com.br#notion  #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp  #wallpaper #wallpapers #poster #posterdesign #posters,0,0,1,110,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp', '#wallpaper', '#wallpapers', '#poster', '#posterdesign', '#posters']",https://x.com/julio_trois/status/1840798770914869358,tweet_id:1840798770914869358,positivo
2024-09-30T16:00:02.000Z, NordVPN Promotion: 74% OFF + 3 months free!https://go.nordvpn.net/SH52i#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,1,92,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1840783672796148057,tweet_id:1840783672796148057,neutral
2024-09-30T15:00:01.000Z,Meet my Template for Dark and Light Mode Available!https://juliotrois.com.br#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,1,51,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1840768569208094873,tweet_id:1840768569208094873,positivo
2024-09-30T14:00:02.000Z,Meet my Template for Dark and Light Mode Available!https://juliotrois.com.br#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,1,54,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1840753473316352318,tweet_id:1840753473316352318,positivo
2024-09-29T22:36:41.000Z,Introducing the Notion Meal Planner  your ultimate meal prep companion! #MealPlanner #NotionApp #StayOrganized #HealthyEating #MealPrep #Efficiency #DigitalPlanner #PlanYourMeals #ProductivityTools,0,0,2,71,"['#MealPlanner', '#NotionApp', '#StayOrganized', '#HealthyEating', '#MealPrep', '#Efficiency', '#DigitalPlanner', '#PlanYourMeals', '#ProductivityTools']",https://x.com/TimeOptimze/status/1840521105515192515,tweet_id:1840521105515192515,neutral
2024-09-27T16:00:02.000Z,Shopify! Bring your ideas to life for $ 1/month!https://shopify.pxf.io/c/4043140/1061744/13624…#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,1,45,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1839696509463330830,tweet_id:1839696509463330830,neutral
2024-09-27T15:00:00.000Z,Special Offer! Bundle!https://juliotrois.com.br#notion  #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp  #wallpaper #wallpapers #poster #posterdesign #posters,0,0,2,88,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp', '#wallpaper', '#wallpapers', '#poster', '#posterdesign', '#posters']",https://x.com/julio_trois/status/1839681403627405455,tweet_id:1839681403627405455,positivo
2024-09-26T17:00:00.000Z,Special Offer! Bundle!https://juliotrois.com.br#notion  #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp  #wallpaper #wallpapers #poster #posterdesign #posters,0,0,1,69,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp', '#wallpaper', '#wallpapers', '#poster', '#posterdesign', '#posters']",https://x.com/julio_trois/status/1839349212611522819,tweet_id:1839349212611522819,positivo
2024-09-25T16:00:00.000Z," NordLocker Promotion - Super Discount, enjoy!https://go.nordlocker.net/SH6Sj#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp",0,0,2,56,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1838971726912471293,tweet_id:1838971726912471293,positivo
2024-09-25T15:00:02.000Z,Special Offer! Bundle!https://juliotrois.com.br#notion  #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp  #wallpaper #wallpapers #poster #posterdesign #posters,0,0,1,65,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp', '#wallpaper', '#wallpapers', '#poster', '#posterdesign', '#posters']",https://x.com/julio_trois/status/1838956636200915293,tweet_id:1838956636200915293,positivo
2024-09-24T17:00:00.000Z,Special Offer! Bundle!https://juliotrois.com.br#notion  #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp  #wallpaper #wallpapers #poster #posterdesign #posters,0,0,1,83,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp', '#wallpaper', '#wallpapers', '#poster', '#posterdesign', '#posters']",https://x.com/julio_trois/status/1838624436569935914,tweet_id:1838624436569935914,positivo
2024-09-24T16:00:02.000Z, NordPass Promotionhttps://go.nordpass.io/SH6HS#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,2,57,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1838609345652887800,tweet_id:1838609345652887800,neutral
2024-09-24T14:00:02.000Z,Get to know my custom icon pack for iPhone and iPad!https://juliotrois.com.br#illustrator  #illustration #design #designer #DesignInspiration #notion #notiontwt  #notiontemplate #builtwithnotion #notiontemplates #notionapp #IOSIcons  #icon #icondesign,0,0,3,130,"['#illustrator', '#illustration', '#design', '#designer', '#DesignInspiration', '#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp', '#IOSIcons', '#icon', '#icondesign']",https://x.com/julio_trois/status/1838579148325032203,tweet_id:1838579148325032203,neutral
2024-09-24T08:37:06.000Z,"Sorry guys, I was about to play #Persona4Golden.

Instead, I have to record my new #CoffeeWithZaki (#French) video episode.

BRB.

Let me turn on #OmniOutliner and #NotionApp.

A tout de suite.",0,0,0,80,"['#Persona4Golden', '#CoffeeWithZaki', '#French', '#OmniOutliner', '#NotionApp']",https://x.com/SUPERFRENCHBIGZ/status/1838497879184543968,tweet_id:1838497879184543968,negativo
2024-09-23T17:00:00.000Z,Special Offer! Bundle!https://juliotrois.com.br#notion  #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp  #wallpaper #wallpapers #poster #posterdesign #posters,0,0,1,58,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp', '#wallpaper', '#wallpapers', '#poster', '#posterdesign', '#posters']",https://x.com/julio_trois/status/1838262051082252674,tweet_id:1838262051082252674,positivo
2024-09-23T16:00:00.000Z, NordVPN Promotion: 74% OFF + 3 months free!https://go.nordvpn.net/SH52i#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,1,40,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1838246950585459010,tweet_id:1838246950585459010,neutral
2024-09-23T14:00:02.000Z,Get to know my custom icon pack for iPhone and iPad!https://juliotrois.com.br#illustrator  #illustration #design #designer #DesignInspiration #notion #notiontwt  #notiontemplate #builtwithnotion #notiontemplates #notionapp #IOSIcons  #icon #icondesign,0,0,2,77,"['#illustrator', '#illustration', '#design', '#designer', '#DesignInspiration', '#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp', '#IOSIcons', '#icon', '#icondesign']",https://x.com/julio_trois/status/1838216759754854872,tweet_id:1838216759754854872,neutral
2024-09-21T20:59:47.000Z,feels like im missing something but here's a long overdue seven mv inspired notion weekly agenda page #notionapp,3,0,3,195,['#notionapp'],https://x.com/yoongisbatman/status/1837597615115895177,tweet_id:1837597615115895177,negativo
2024-09-21T14:11:00.000Z,"Subscribe to my Newsletter about with interviews with Creators, curated Templates, Tutorials, Tips and Tricks…  New edition available!  https://juliotrois.substack.com/?showWelcome=true…#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp",0,0,1,73,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1837494742545797141,tweet_id:1837494742545797141,positivo
2024-09-20T16:00:02.000Z,Shopify! Bring your ideas to life for $ 1/month!https://shopify.pxf.io/c/4043140/1061744/13624…#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,1,52,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1837159793242558734,tweet_id:1837159793242558734,neutral
2024-09-20T15:00:02.000Z,Get to know my BoardGame Print & Play!https://juliotrois.com.br#boardgames #notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp,0,0,1,51,"['#boardgames', '#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp']",https://x.com/julio_trois/status/1837144695304335777,tweet_id:1837144695304335777,neutral
2024-09-20T14:00:02.000Z,Meet my Wallpapers Collectionhttps://juliotrois.com.br#notion #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp #wallpaper #Wallpapers,0,0,1,73,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp', '#wallpaper', '#Wallpapers']",https://x.com/julio_trois/status/1837129594392252587,tweet_id:1837129594392252587,neutral
2024-09-19T20:36:35.000Z,"Life Planner | Notion Template

Browse 1 template in Gamby's collection for more options and related content. Visit Help Center for assistance.#notiontemplate #notiontemplates #notiontwt #notion #buildwithnotion #notiontemplateideas #notionapphttps://ift.tt/oPiJbxU",0,0,0,32,"['#notiontemplate', '#notiontemplates', '#notiontwt', '#notion', '#buildwithnotion', '#notiontemplateideas', '#notionapp']",https://x.com/notiontemplate_/status/1836867004097020240,tweet_id:1836867004097020240,positivo
2024-09-19T17:00:01.000Z,Special Offer! Bundle!https://juliotrois.com.br#notion  #notiontwt #notiontemplate #builtwithnotion #notiontemplates #notionapp  #wallpaper #wallpapers #poster #posterdesign #posters,0,0,1,75,"['#notion', '#notiontwt', '#notiontemplate', '#builtwithnotion', '#notiontemplates', '#notionapp', '#wallpaper', '#wallpapers', '#poster', '#posterdesign', '#posters']",https://x.com/julio_trois/status/1836812501041746168,tweet_id:1836812501041746168,positivo
